site,Sublocat,village,Collector,Subcode,Villcode,House,Elevation,Lat,Long,HHUNCODE,Sex,Age,HHhead,Relate,NetHH,HHspray,Lang
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0046,1188.000000,-0.068267,34.968633,KBW020046,F,55.89,N,2,N,Y,2.000000
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0046,1188.000000,-0.068267,34.968633,KBW020046,F,13.86,N,8,N,Y,2.000000
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0046,1188.000000,-0.068267,34.968633,KBW020046,F,11.86,N,8,N,Y,2.000000
Low,Kabar Central,Kawuor,Kenneth ochieng,KBC,07,0013,1191.000000,-0.069883,34.997467,KBC070013,F,25.13,N,2,N,Y,2.000000
Low,Kabar Central,Kawuor,Kenneth ochieng,KBC,07,0013,1191.000000,-0.069883,34.997467,KBC070013,F,3.20,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0021,1201.000000,-0.073417,34.980300,KBW040021,F,18.87,N,2,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0027,1198.000000,-0.073617,34.982433,KBW040027,F,41.89,N,2,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0027,1198.000000,-0.073617,34.982433,KBW040027,F,12.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0027,1198.000000,-0.073617,34.982433,KBW040027,F,15.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0027,1198.000000,-0.073617,34.982433,KBW040027,F,10.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0050,1194.000000,-0.073633,34.985883,KBW040050,F,21.87,N,2,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0011,1196.000000,-0.073650,34.979800,KBW040011,F,20.87,N,2,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0010,1195.000000,-0.073717,34.979717,KBW040010,F,45.89,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0010,1195.000000,-0.073717,34.979717,KBW040010,F,25.88,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0010,1195.000000,-0.073717,34.979717,KBW040010,F,19.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0010,1195.000000,-0.073717,34.979717,KBW040010,F,16.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0009,1193.000000,-0.073750,34.979500,KBW040009,F,18.87,N,2,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0009,1193.000000,-0.073750,34.979500,KBW040009,F,0.61,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0012,1197.000000,-0.073883,34.980367,KBW040012,F,47.89,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0038,1190.000000,-0.073900,34.986817,KBW040038,F,66.91,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0028,1199.000000,-0.073917,34.982583,KBW040028,F,39.89,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0028,1199.000000,-0.073917,34.982583,KBW040028,F,11.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0028,1199.000000,-0.073917,34.982583,KBW040028,F,4.86,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0031,1201.000000,-0.073933,34.983050,KBW040031,F,43.89,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0031,1201.000000,-0.073933,34.983050,KBW040031,F,11.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0031,1201.000000,-0.073933,34.983050,KBW040031,F,7.87,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0032,1201.000000,-0.073933,34.983067,KBW040032,F,23.88,N,2,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0032,1201.000000,-0.073933,34.983067,KBW040032,F,2.86,N,8,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0008,1190.000000,-0.073950,34.978900,KBW040008,F,23.88,N,2,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0008,1190.000000,-0.073950,34.978900,KBW040008,F,3.86,N,8,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0007,1189.000000,-0.074033,34.978983,KBW040007,F,46.89,N,2,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0007,1189.000000,-0.074033,34.978983,KBW040007,F,20.87,N,8,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0007,1189.000000,-0.074033,34.978983,KBW040007,F,3.86,N,9,Y,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0033,1200.000000,-0.074100,34.983167,KBW040033,F,26.88,N,2,Y,Y,2.000000
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0111,1201.000000,-0.074117,34.971867,KBW020111,F,36.88,N,2,N,Y,2.000000
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0111,1201.000000,-0.074117,34.971867,KBW020111,F,15.87,N,8,N,Y,2.000000
Low,Kabar West,Othoche,Kenneth ochieng,KBW,02,0111,1201.000000,-0.074117,34.971867,KBW020111,F,4.86,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0029,1200.000000,-0.074117,34.982900,KBW040029,F,62.90,Y,1,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0029,1200.000000,-0.074117,34.982900,KBW040029,F,26.88,N,8,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0029,1200.000000,-0.074117,34.982900,KBW040029,F,9.87,N,9,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0029,1200.000000,-0.074117,34.982900,KBW040029,F,3.86,N,9,N,Y,2.000000
Low,Kabar West,Ramindi,Kenneth ochieng,KBW,04,0029,1200.000000,-0.074117,34.982900,KBW040029,F,5.86,N,9,N,Y,2.000000
