"","houses","numocc","numFem","numMale","oldest","youngest","headsex","headage","net","under5","under1","under18","periph","lat","lon","hspray","site","elev","lang"
"1","KBW_2_0046",6,3,3,58.9,11.86,"M",58.9,0,0,0,3,0,-0.068267,34.968633,6,2,1188,2
"2","KBC_7_0013",5,2,3,30.47,1.37,"M",30.47,0,3,0,3,0,-0.069883,34.997467,5,2,1191,2
"3","KBW_4_0021",3,1,2,26.88,0.61,"M",26.88,0,1,1,1,0,-0.073417,34.9803,3,2,1201,2
"4","KBW_4_0027",7,4,3,55.9,10.87,"M",55.9,0,0,0,5,0,-0.073617,34.982433,7,2,1198,2
"5","KBW_4_0050",4,1,3,22.88,0.86,"M",22.88,0,2,1,2,0,-0.073633,34.985883,4,2,1194,2
"6","KBW_4_0011",2,1,1,22.88,20.87,"M",22.88,0,0,0,0,0,-0.07365,34.9798,2,2,1196,2
"7","KBW_4_0010",7,4,3,45.89,6.87,"F",45.89,0,0,0,3,0,-0.073717,34.979717,7,2,1195,2
"8","KBW_4_0009",3,2,1,23.88,0.61,"M",23.88,0,1,1,1,0,-0.07375,34.9795,3,2,1193,2
"9","KBW_4_0012",5,1,4,47.89,5.86,"F",47.89,0,0,0,4,0,-0.073883,34.980367,5,2,1197,2
"10","KBW_4_0038",2,1,1,66.91,10.87,"F",66.91,0,0,0,1,0,-0.0739,34.986817,2,2,1190,2
"11","KBW_4_0028",6,3,3,39.89,4.86,"F",39.89,0,1,0,4,0,-0.073917,34.982583,6,2,1199,2
"12","KBW_4_0031",4,3,1,43.89,3.86,"F",43.89,0,1,0,3,0,-0.073933,34.98305,4,2,1201,2
"13","KBW_4_0032",6,2,4,33.88,0.78,"M",33.88,6,3,1,4,0,-0.073933,34.983067,6,2,1201,2
"14","KBW_4_0008",4,2,2,28.88,0.28,"M",28.88,4,2,1,2,0,-0.07395,34.9789,4,2,1190,2
