Label,trt,Estimate,std,Lower,Upper,Model,,
26,1,60.8001,1.262,58.32658,63.27362,GLMM,57.55676,64.04344
26,0,60.1063,1.9445,56.29508,63.91752,GLMM,55.108935,65.103665
12,1,62.815,1.0894,60.679776,64.950224,GLMM,60.015242,65.614758
12,0,62.896,1.6514,59.659256,66.132744,GLMM,58.651902,67.140098
6,1,64.6183,0.9834,62.690836,66.545764,GLMM,62.090962,67.145638
6,0,62.3791,1.5015,59.43616,65.32204,GLMM,58.520245,66.237955
0,1,65.9654,0.8857,64.229428,67.701372,GLMM,63.689151,68.241649
0,0,64.8467,1.2458,62.404932,67.288468,GLMM,61.644994,68.048406
0,0,65.115921,1.241129,62.68335,67.54849,MI,61.92621947,68.30562253
0,1,65.935937,0.877816,64.21545,67.65643,MI,63.67994988,68.19192412
6,0,60.987667,1.502758,58.04215,63.93319,MI,57.12557894,64.84975506
6,1,63.16392,1.01272,61.17896,65.14888,MI,60.5612296,65.7666104
12,0,60.360523,1.79067,56.85046,63.87059,MI,55.7585011,64.9625449
12,1,60.008849,1.238428,57.58132,62.43638,MI,56.82608904,63.19160896
26,0,54.292504,2.381726,49.62324,58.96177,MI,48.17146818,60.41353982
26,1,56.850554,1.608956,53.69635,60.00475,MI,52.71553708,60.98557092
